scientificName,decimalLongitude,decimalLatitude
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,148.88,-20.06
Gambierdiscus,148.88,-20.06
Gambierdiscus,153.48,-26.98
Gambierdiscus,148.88,-20.06
Gambierdiscus,148.88,-20.06
Gambierdiscus,148.88,-20.06
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,148.88,-20.06
Gambierdiscus,153.112,-26.616
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,148.88,-20.06
Gambierdiscus,153.55,-27.39
Gambierdiscus,153.48,-26.98
Gambierdiscus,148.88,-20.06
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,148.88,-20.06
Gambierdiscus,153.48,-26.98
Gambierdiscus,148.88,-20.06
Gambierdiscus,153.55,-27.39
Gambierdiscus,148.88,-20.06
Gambierdiscus,153.55,-27.39
Gambierdiscus,153.48,-26.98
Gambierdiscus,148.88,-20.06
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.55,-27.39
Gambierdiscus,153.15,-26.75
Gambierdiscus,153.48,-26.98
Gambierdiscus,148.88,-20.06
Gambierdiscus,148.88,-20.06
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,148.88,-20.06
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,148.88,-20.06
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,148.88,-20.06
Gambierdiscus,148.88,-20.06
Gambierdiscus,153.48,-26.98
Gambierdiscus,148.88,-20.06
Gambierdiscus,148.88,-20.06
Gambierdiscus,148.88,-20.06
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,148.88,-20.06
Gambierdiscus,148.88,-20.06
Gambierdiscus,148.88,-20.06
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,148.88,-20.06
Gambierdiscus,148.88,-20.06
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.55,-27.39
Gambierdiscus,153.48,-26.98
Gambierdiscus,148.88,-20.06
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,148.88,-20.06
Gambierdiscus,148.88,-20.06
Gambierdiscus,148.88,-20.06
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,148.88,-20.06
Gambierdiscus,153.48,-26.98
Gambierdiscus,148.88,-20.06
Gambierdiscus,148.88,-20.06
Gambierdiscus,153.48,-26.98
Gambierdiscus,148.88,-20.06
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,148.88,-20.06
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,148.88,-20.06
Gambierdiscus,148.88,-20.06
Gambierdiscus,148.88,-20.06
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.15,-26.75
Gambierdiscus,153.48,-26.98
Gambierdiscus,148.88,-20.06
Gambierdiscus,148.88,-20.06
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,148.88,-20.06
